enrolment_id,total_interaction_percent,total_attendance_percent,topic_one_percent,topic_two_percent,topic_three_percent,topic_four_percent,total_assessment_score_percent,gpa
7131524,47,61,46,38,39,11,45,3
7463622,53,44,20,43,87,41,45,3
7666813,73,43,43,31,75,44,52,4
8430967,35,50,37,98,25,91,50,4
9012677,65,56,18,61,14,76,53,4
6488799,55,50,4,54,20,45,44,2
7373996,28,29,44,64,61,37,36,2
7437065,51,51,96,4,91,35,53,4
9543154,48,77,73,46,6,9,50,4
6086187,26,53,88,15,3,19,35,2
8997498,50,35,9,26,76,35,39,2
9083456,28,43,12,36,31,43,36,2
9382470,61,43,8,67,92,47,49,3
7164618,61,57,57,20,64,46,52,4
9171697,27,54,89,58,49,35,47,3
9784256,2,44,73,66,40,17,31,2
5486663,52,42,90,53,89,86,59,4
6040634,55,42,55,73,80,14,47,3
6561645,12,38,56,85,72,42,37,2
9338301,40,52,97,18,88,92,57,4
5751115,54,66,92,83,30,42,61,4
6382972,6,50,34,96,40,11,31,2
6783912,49,43,62,87,75,99,55,4
8644471,33,35,36,50,27,88,41,2
6053865,83,63,4,96,58,7,63,4
6632588,64,33,50,55,93,43,51,4
7055921,69,41,89,37,36,20,54,4
8285637,84,49,5,80,1,40,53,4
7079343,97,48,91,33,98,17,65,5
8479407,61,35,19,44,73,92,50,4
8604500,76,51,32,24,16,54,55,4
9261068,83,75,44,68,89,61,75,6
5010698,92,61,39,39,41,27,64,4
7742296,69,26,90,5,32,21,43,2
7759198,37,42,47,70,18,13,40,2
6348228,53,49,79,15,67,22,50,4
7044914,84,58,67,14,20,0,54,4
7113298,76,41,76,25,35,95,59,4
5749841,69,48,86,88,15,25,57,4
8147327,57,45,80,76,22,48,55,4
8291436,66,43,11,97,69,58,53,4
9294801,7,69,45,29,55,39,41,2
5510404,47,47,47,62,17,41,45,3
7490289,56,56,41,3,25,47,47,3
7990095,55,29,52,60,2,44,41,2
9316319,51,18,71,1,93,29,38,2
7509529,77,44,11,1,11,73,47,3
7979200,78,43,57,18,96,52,58,4
8645785,43,68,85,69,95,32,59,4
9966110,41,50,13,9,54,51,41,2
5310753,63,51,88,61,75,21,56,4
6792029,47,46,16,40,42,90,50,4
8148085,33,49,49,61,9,92,45,3
8788875,44,60,6,59,99,37,50,4
5916926,53,52,97,96,51,49,59,4
7607263,60,34,26,38,31,30,41,2
8382734,62,46,78,44,89,67,59,4
5155817,55,64,73,71,40,43,62,4
6990216,17,56,56,36,99,84,44,2
9176807,9,58,76,87,89,89,49,3
6564705,28,75,37,62,0,44,46,3
7369669,29,33,65,48,74,84,44,2
7630744,61,49,55,50,66,8,53,4
5471593,35,72,71,63,28,31,52,4
5982292,89,66,74,26,5,71,63,4
8520229,33,47,83,78,3,91,46,3
5472895,41,35,91,30,92,63,46,3
5856983,36,37,68,12,30,68,38,2
6138417,38,43,48,80,51,4,41,2
8894963,14,47,90,70,91,85,44,2
5480604,74,67,75,27,60,99,64,4
6115344,81,41,11,89,80,16,56,4
8025063,60,51,26,96,32,7,51,4
5428558,82,33,25,98,15,74,56,4
8426874,66,40,61,25,50,24,48,3
8673968,73,64,2,77,18,51,60,4
5529114,83,34,56,52,58,32,56,4
5810481,61,22,21,8,83,27,37,2
7470759,29,48,25,8,83,96,42,2
7555565,54,44,66,46,14,3,43,2
9438807,36,40,37,25,95,61,42,2
9789601,72,58,92,94,94,67,73,5
5208344,50,52,3,52,93,92,54,4
6960458,26,51,24,44,96,62,45,3
8999373,62,50,46,51,4,3,45,3
9637592,24,47,35,72,14,51,37,2
6972692,54,62,56,24,37,38,52,4
6999978,45,43,81,57,32,63,49,3
7202006,17,75,34,6,8,99,42,2
9579976,56,27,74,79,15,46,43,2
5021408,57,59,30,72,16,80,55,4
5239647,64,45,80,3,19,10,47,3
7335112,19,40,94,82,77,97,46,3
6124884,52,53,1,0,43,84,48,3
7118565,88,37,91,54,1,98,62,4
8490445,81,38,54,23,51,41,53,4
8945941,77,72,79,1,26,78,66,5
6713212,66,26,53,6,93,31,44,2
8941124,73,51,92,74,72,10,61,4
9183528,53,61,13,51,51,16,48,3
7166186,56,57,94,0,38,41,49,3
8668530,41,56,42,6,15,62,41,2
8747255,79,57,23,34,4,88,56,4
9808807,49,33,42,86,80,34,47,3
7270669,55,57,26,58,20,63,53,4
8220837,61,41,92,77,11,84,55,4
8903213,19,63,42,25,26,50,40,2
7712108,75,59,29,10,9,9,48,3
7897511,25,60,52,38,16,68,43,2
9168906,90,54,30,89,17,28,61,4
5825713,66,40,12,60,92,56,53,4
6760341,24,70,95,20,49,39,50,4
7199790,84,54,75,57,69,13,58,4
9446143,83,66,96,16,66,58,71,5
5875519,51,54,42,67,83,29,55,4
6473191,68,76,3,15,19,13,56,4
8266315,60,30,23,44,41,39,42,2
8529414,70,48,68,98,81,76,66,5
5855089,64,54,68,45,20,23,52,4
6760455,42,40,5,10,25,38,32,2
7943784,11,60,22,74,32,20,36,2
5184608,48,47,38,99,91,63,55,4
5814601,25,35,1,64,29,58,33,2
8908958,56,46,39,25,53,99,49,3
9180517,14,42,64,74,31,1,33,2
5195997,50,59,41,47,21,51,50,4
5909328,43,57,81,71,23,99,56,4
6301849,75,58,49,86,93,68,67,5
8569176,58,40,37,93,41,48,50,4
6415145,93,58,38,67,56,58,66,5
7795436,7,56,73,97,46,43,42,2
8914907,74,57,34,60,98,92,67,5
7313477,50,63,58,98,27,14,56,4
7337297,35,42,72,4,26,77,37,2
8780648,67,68,27,33,41,54,56,4
8873444,77,38,52,78,81,84,62,4
6004107,61,73,6,51,91,33,59,4
8197960,42,55,21,19,54,97,46,3
8361823,54,63,71,20,20,66,54,4
8991842,87,34,8,6,36,75,51,4
5789065,39,67,99,62,19,99,58,4
6271462,96,59,74,43,14,0,62,4
8573034,92,38,21,36,21,5,50,4
5901249,48,61,24,55,93,98,55,4
5905516,56,55,14,27,34,1,45,3
7536643,48,44,66,68,81,22,52,4
8142467,39,41,68,0,70,74,43,2
6196913,40,53,21,12,58,82,43,2
6703515,84,27,97,49,81,94,62,4
8682964,77,77,71,29,69,69,72,5
9462523,38,30,31,39,59,14,32,2
5231307,95,48,16,63,24,49,61,4
6044551,45,50,87,67,51,29,49,3
9268407,4,53,99,86,78,31,45,3
5786139,48,60,99,66,13,74,57,4
6042674,51,44,75,72,76,15,54,4
7820162,67,22,67,90,72,39,49,3
9236471,40,48,38,34,30,44,40,2
7193321,85,27,27,41,38,85,53,4
8559478,88,61,18,89,83,1,63,4
9167409,59,45,50,3,12,39,42,2
9338588,87,41,89,86,15,9,56,4
5311870,7,69,73,3,33,31,41,2
6065479,35,59,66,16,60,98,51,4
9164606,63,29,24,84,78,45,48,3
5968658,43,60,27,8,28,89,47,3
7174430,49,65,81,2,39,88,56,4
9958844,65,45,39,5,90,66,52,4
5370164,36,57,51,62,46,66,50,4
5516329,21,38,66,35,97,7,35,2
7404182,41,32,40,22,96,67,42,2
8235755,55,42,25,68,90,4,47,3
5747003,85,75,42,2,73,37,65,5
6738677,58,55,60,26,22,45,48,3
9407957,73,53,10,20,58,24,49,3
9624783,45,57,60,92,83,86,59,4
5563615,17,63,66,89,49,6,42,2
6512105,19,69,76,30,56,27,46,3
9750570,26,31,59,69,95,97,46,3
8147936,43,62,4,87,18,98,55,4
8394648,54,59,38,42,57,3,46,3
8479298,62,35,50,16,0,25,37,2
9403242,20,40,75,59,96,53,44,2
6194622,77,49,2,52,25,20,51,4
7893675,52,49,91,88,21,14,52,4
8589320,22,82,0,14,46,4,41,2
5327769,38,34,23,10,88,87,40,2
7818774,91,46,62,74,33,27,63,4
8664075,40,61,2,37,95,34,48,3
6922464,69,71,19,37,4,55,54,4
8134308,37,49,55,14,92,92,52,4
9638230,51,68,56,82,24,80,63,4
5586067,31,56,75,53,28,48,48,3
7854914,51,51,22,17,61,80,51,4
9186182,30,43,49,84,50,44,41,2
5041684,37,44,45,32,48,41,43,2
6591134,60,33,74,35,23,29,45,3
8458301,57,35,63,31,92,46,53,4
9487571,24,44,3,89,82,57,44,2
7504374,74,61,9,86,68,64,65,5
7763767,18,56,7,33,11,88,35,2
9032660,27,59,93,58,14,7,45,3
9215313,67,77,61,62,13,28,63,4
5536215,51,29,40,41,79,72,44,2
6981175,78,61,12,5,80,9,57,4
7187279,38,57,48,94,83,29,54,4
5916943,92,54,37,37,35,10,55,4
6455799,35,41,7,35,74,55,41,2
7228963,47,70,93,81,91,19,63,4
7938453,79,64,74,26,50,85,66,5
5004691,83,60,8,33,82,37,65,5
5562638,65,64,73,31,88,8,58,4
8143946,37,57,10,42,56,80,46,3
7023540,59,60,49,60,60,90,61,4
7151045,74,54,39,26,52,39,57,4
7833556,35,60,37,79,27,35,44,2
9216206,44,79,58,16,22,99,58,4
5874227,54,90,13,21,7,19,52,4
6301204,15,38,66,4,43,43,27,2
7405292,54,62,92,16,20,92,59,4
5938769,17,37,75,99,53,36,41,2
6891978,47,44,99,93,64,85,56,4
7174365,67,38,61,34,29,30,47,3
8553045,61,45,31,18,0,81,46,3
5495810,58,38,63,43,57,2,45,3
5651181,49,64,87,46,94,45,63,4
9643849,35,48,49,79,12,45,44,2
6961656,8,48,71,45,93,13,38,2
7167034,53,51,32,3,53,74,47,3
7452849,68,74,42,78,27,60,63,4
6131154,68,52,8,83,66,11,57,4
6730563,34,51,77,10,72,53,48,3
9329969,56,47,49,69,50,30,52,4
5640748,47,42,94,58,0,22,45,3
6909955,10,62,68,88,31,21,39,2
8796487,51,49,43,36,52,62,50,4
9788666,30,55,10,80,45,22,42,2
6988514,33,67,47,86,4,13,46,3
8218294,46,47,78,86,45,67,54,4
9979178,45,50,76,26,43,93,54,4
7459971,84,26,63,99,71,87,61,4
7500416,54,47,67,80,59,37,53,4
8244780,24,45,10,0,47,16,28,2
9768729,59,65,5,1,32,46,51,4
5056390,29,60,12,96,8,1,41,2
5233293,45,27,29,1,21,67,34,2
5333238,34,58,48,52,86,50,47,3
9336653,66,72,6,10,50,8,54,4
7509453,82,53,5,30,93,39,58,4
7787725,41,56,4,11,29,80,43,2
9346652,51,54,48,57,36,61,52,4
9472936,56,55,85,79,31,70,60,4
5595699,57,42,18,65,35,35,45,3
6509747,60,47,81,94,73,98,63,4
7134765,40,25,84,55,40,93,42,2
9889642,80,38,74,44,44,64,59,4
5364443,67,68,77,86,37,49,65,5
6073993,23,33,32,58,88,19,36,2
8455843,23,60,22,18,54,20,40,2
9094414,8,45,44,3,52,16,32,2
6013241,80,30,42,56,41,50,51,4
6188114,50,55,11,73,25,36,48,3
7254248,89,49,13,83,41,34,64,4
8264099,90,44,79,86,73,79,70,5
6060584,52,73,95,91,55,24,61,4
8080651,92,64,48,60,12,4,63,4
8545914,78,35,36,72,89,52,59,4
6402970,63,54,38,44,32,41,52,4
8521692,47,52,1,91,78,91,51,4
9500516,64,69,32,25,45,44,55,4
7628170,94,51,99,56,6,91,67,5
7689245,44,58,17,44,55,18,48,3
7885275,94,64,51,60,27,3,66,5
6563343,88,45,27,47,6,19,52,4
6779987,68,34,57,52,48,90,54,4
6807870,44,37,77,83,11,68,47,3
8323217,34,56,45,16,65,54,47,3
6249272,36,61,99,24,19,48,48,3
7484921,77,45,72,6,54,75,55,4
8679751,36,54,8,45,51,28,41,2
5497736,30,43,60,85,74,80,45,3
6828548,64,58,75,35,26,40,54,4
7401850,40,42,65,61,49,36,47,3
8232373,49,56,37,45,40,53,50,4
6228368,63,57,99,20,77,71,60,4
7026075,49,42,20,33,78,10,43,2
7808607,49,52,51,1,85,76,53,4
9155911,56,53,9,48,58,95,54,4
6290260,52,46,28,75,84,14,51,4
6334424,76,67,44,82,35,55,64,4
6988197,16,63,22,24,65,29,40,2
8164067,81,65,53,63,72,39,68,5
6809521,36,41,42,64,24,65,43,2
7714414,58,31,60,72,40,99,51,4
9267477,36,50,19,30,38,8,37,2
9885558,36,40,98,41,86,41,46,3
8950876,45,67,79,8,37,70,55,4
9093526,40,51,9,50,52,0,41,2
9551687,66,39,50,73,3,60,51,4
5581585,48,49,34,4,14,88,45,3
6936856,38,37,21,34,94,84,45,3
8512855,40,53,88,88,43,25,51,4
8726903,38,59,46,23,60,81,44,2
5308586,28,68,34,72,6,65,44,2
6020805,18,45,37,85,26,13,32,2
7243053,31,38,79,81,19,82,43,2
9024744,39,38,24,74,45,79,44,2
6292439,70,25,41,22,12,10,38,2
6770306,37,52,20,85,31,15,43,2
7533316,69,49,95,98,80,47,67,5
9908800,40,64,13,29,76,6,46,3
6383160,54,54,36,8,33,98,51,4
9076995,69,47,58,34,30,6,48,3
9654161,50,45,5,96,64,21,46,3
9953877,42,39,78,79,75,53,49,3
5107814,72,48,48,72,46,57,60,4
7501434,51,44,74,80,39,89,53,4
7542055,54,64,48,88,6,36,55,4
8355690,39,36,60,55,90,24,42,2
5957912,45,64,77,47,68,13,54,4
6829333,63,29,81,39,49,20,45,3
9513368,62,58,90,81,97,95,70,5
5395161,7,53,26,42,5,99,34,2
7974692,54,65,30,43,7,22,50,4
8880596,51,66,56,49,56,42,56,4
9959957,55,55,98,20,37,94,57,4
6453461,69,63,86,40,83,33,61,4
6876937,18,76,62,36,37,62,47,3
7039185,27,32,14,97,86,96,43,2
8398174,49,50,67,89,18,4,46,3
5281030,67,32,88,71,78,88,61,4
5459196,60,54,33,92,51,5,49,3
5491345,2,64,63,41,22,34,35,2
5505754,51,55,44,7,41,76,47,3
5809423,30,68,85,56,60,44,55,4
6614995,41,55,79,48,30,28,45,3
8783984,59,37,44,84,81,46,54,4
5021597,31,23,25,35,52,37,26,2
7938514,85,46,4,91,56,50,60,4
8890498,59,32,20,17,80,64,47,3
9532808,78,34,62,93,51,86,61,4
5849685,45,47,46,65,13,43,41,2
7970459,69,34,94,9,44,60,50,4
9121187,26,58,58,78,81,64,52,4
9921895,87,69,64,12,5,47,60,4
8409479,59,41,14,10,57,7,39,2
9066835,45,45,71,27,61,30,43,2
9765149,24,37,44,35,28,66,30,2
6944915,52,37,73,75,2,98,52,4
7301778,45,39,45,73,57,85,49,3
7736358,50,56,51,12,32,36,43,2
8742178,53,26,32,97,21,12,37,2
6510071,38,54,31,14,76,93,47,3
6522300,97,55,97,13,88,69,72,5
7067462,48,41,59,95,95,17,51,4
9983915,67,80,61,78,70,39,69,5
5468698,57,48,80,56,69,17,53,4
5848510,23,72,52,78,71,37,50,4
9906256,69,67,50,10,66,39,57,4
6148724,80,60,66,9,36,48,61,4
7463437,42,20,16,25,87,89,42,2
7487730,56,39,66,79,26,5,45,3
8852341,84,61,7,3,50,36,54,4
6106552,24,50,85,92,89,74,55,4
6876031,29,41,20,33,22,71,34,2
8624200,56,26,6,53,10,47,34,2
8923305,34,44,90,98,97,79,55,4
7593751,53,45,7,40,40,9,43,2
7660612,61,40,48,76,84,62,55,4
8462556,24,67,99,18,57,55,47,3
8858855,49,39,88,72,5,64,50,4
6872481,94,48,29,81,85,80,70,5
8793007,30,28,5,37,13,77,30,2
9056880,30,43,86,13,36,68,41,2
9202155,56,44,7,92,74,27,48,3
5687712,58,58,37,72,20,70,55,4
6759521,17,60,93,48,32,24,42,2
8620868,52,54,82,66,27,45,55,4
9750480,59,28,49,94,40,69,52,4
6238901,82,42,58,15,5,91,53,4
7753863,70,34,86,55,66,30,54,4
8735226,80,48,7,52,20,96,60,4
5803032,49,45,59,5,18,60,42,2
6726589,25,75,48,89,84,68,57,4
7573599,58,58,37,64,49,0,51,4
9469527,55,40,0,41,2,44,39,2
6334392,53,56,43,23,65,38,49,3
6727036,64,54,68,8,84,29,51,4
8347212,46,63,35,26,41,16,45,3
5745182,56,30,84,98,45,44,52,4
7433809,78,50,65,52,20,69,56,4
8961501,73,40,84,17,45,50,56,4
5298255,33,57,30,78,0,60,42,2
6656167,12,58,37,19,34,21,33,2
7717386,63,58,48,70,22,55,56,4
9305689,24,40,54,39,62,38,36,2
5275148,37,51,21,73,7,61,43,2
5306510,46,34,3,92,79,55,47,3
6338843,31,27,1,87,94,33,36,2
8864843,43,69,1,81,78,59,58,4
5372855,21,48,4,65,84,96,41,2
6236855,48,51,50,61,57,2,46,3
9480998,22,60,75,22,98,90,55,4
6724824,74,60,15,12,94,20,58,4
7318192,59,59,98,52,96,69,65,5
8263583,85,48,64,71,78,10,61,4
8753570,69,46,24,36,32,21,45,3
6354589,42,66,39,63,69,39,56,4
7617490,53,40,75,73,23,99,55,4
8318088,34,46,93,57,4,76,45,3
9148224,51,49,1,2,27,1,36,2
7322421,49,56,3,66,74,44,48,3
8463300,73,54,15,98,2,23,52,4
9560336,32,38,54,58,41,9,36,2
9851073,24,53,67,74,47,4,40,2
7268347,31,82,41,11,31,0,44,2
8660869,40,61,27,87,84,67,53,4
8855111,43,43,38,23,12,57,41,2
9272606,60,65,89,63,22,23,57,4
7631001,63,70,24,51,16,4,51,4
8011134,70,39,34,54,31,65,51,4
8795515,58,47,66,25,0,73,47,3
9120616,85,63,81,94,88,47,72,5
5654467,40,66,54,18,21,81,47,3
6741355,46,67,17,81,21,25,46,3
9979019,37,61,32,34,17,33,41,2
5946370,13,49,42,9,43,69,33,2
8323080,9,86,41,81,74,42,49,3
8350543,24,55,88,18,5,9,36,2
6366141,70,91,13,48,52,73,70,5
7328278,71,37,16,7,75,69,46,3
8448827,32,35,64,93,71,88,47,3
8496642,82,62,93,50,6,15,62,4
5508485,69,55,90,35,24,39,58,4
8253050,97,73,17,64,74,94,77,6
8503152,37,55,60,27,42,5,41,2
9539447,25,73,5,68,0,50,44,2
6520552,24,50,84,87,91,86,56,4
8719471,77,57,88,0,95,69,61,4
9789441,68,38,75,9,34,48,47,3
6447395,87,55,11,46,28,45,57,4
7484873,55,45,59,81,22,82,55,4
8284374,43,56,6,70,28,25,45,3
8371655,20,54,3,72,67,22,37,2
6660021,70,66,2,39,82,42,57,4
9169335,18,45,90,94,0,54,40,2
9267050,75,67,89,37,48,28,62,4
9424721,26,44,34,85,63,4,42,2
5264123,49,52,17,17,37,43,42,2
5813661,20,49,94,54,78,8,43,2
9762849,85,44,37,48,13,33,53,4
6453582,46,52,1,12,4,44,33,2
6916867,38,50,7,26,25,12,33,2
7075003,75,32,84,5,7,81,51,4
5222082,43,48,92,56,24,13,42,2
8837583,50,51,36,37,27,68,49,3
9166400,43,51,71,25,64,97,54,4
5194796,13,62,84,56,42,61,43,2
6518272,25,38,19,89,89,3,37,2
9475816,64,78,73,31,53,42,60,4
9952667,18,54,1,36,30,30,32,2
8592442,28,48,74,62,34,50,43,2
9415647,39,77,37,48,25,31,49,3
9995134,83,47,18,89,88,42,62,4
5496246,32,48,64,9,95,76,48,3
5759962,29,39,26,94,3,30,39,2
6465981,35,37,38,57,94,5,38,2
9881854,32,58,51,83,50,13,48,3
7133251,29,57,18,34,48,27,42,2
8481037,71,37,78,45,35,81,55,4
8951823,57,66,3,58,77,26,53,4
8858981,46,55,31,20,96,58,50,4
8981837,70,59,99,61,4,44,61,4
9157869,53,52,88,61,69,39,56,4
9409445,56,67,38,23,82,57,57,4
5689803,46,33,46,98,40,38,45,3
7508274,37,36,53,0,21,67,33,2
9254526,54,41,24,64,30,74,47,3
5778907,51,32,38,90,60,98,52,4
6331339,56,65,37,19,51,3,49,3
6833409,17,29,18,37,64,35,30,2
9346833,45,47,84,24,42,28,43,2
7139800,90,44,65,97,3,80,65,5
8612997,60,58,21,32,35,28,49,3
8686847,41,50,37,26,61,50,44,2
6022445,53,47,75,57,52,27,50,4
8066817,50,70,33,86,14,86,56,4
8357303,64,16,34,25,83,26,38,2
8553797,35,49,43,71,38,12,41,2
6077683,99,63,66,90,49,51,75,6
6557299,50,25,51,31,22,25,35,2
6725851,78,37,48,92,2,6,48,3
5984915,34,37,0,37,86,83,36,2
6444925,7,59,11,38,35,73,37,2
6694270,40,72,60,26,9,54,46,3
8046612,16,48,23,38,74,63,37,2
5175148,36,36,41,63,94,30,43,2
6426701,32,55,46,4,88,45,45,3
9730805,94,56,74,23,76,15,64,4
9969731,64,29,61,63,9,89,48,3
6701957,79,52,65,28,22,4,54,4
8637710,18,52,77,82,0,1,38,2
9619982,66,73,49,56,72,32,65,5
5639068,68,45,0,46,22,36,46,3
5984144,68,48,9,51,9,30,47,3
5999705,38,45,32,75,70,92,49,3
7110976,29,48,10,54,13,29,33,2
6458223,51,94,63,29,60,89,69,5
7818684,62,53,75,15,68,98,61,4
8957064,57,51,52,1,48,12,44,2
6882675,32,46,76,46,29,84,45,3
6975639,30,62,64,24,4,18,40,2
7572574,53,49,49,60,33,53,52,4
8889841,23,51,0,21,20,52,32,2
5611127,11,61,61,91,93,27,45,3
5699864,21,47,88,65,97,57,48,3
5795995,60,40,78,38,38,80,51,4
5195908,63,32,58,27,12,63,44,2
7434979,40,53,23,51,24,24,41,2
7575552,26,42,3,42,17,48,32,2
8758905,52,58,49,35,75,5,48,3
6840209,30,64,57,91,25,6,46,3
7539361,59,45,21,2,57,88,48,3
8248846,49,56,55,94,6,8,48,3
8541224,50,57,7,97,86,49,53,4
5774641,62,81,86,16,66,88,69,5
6517585,63,74,40,84,62,94,69,5
8166427,46,45,65,73,55,41,48,3
8222991,59,52,99,23,1,68,53,4
5033193,44,44,38,25,28,47,39,2
5176111,41,52,82,38,61,63,49,3
7051338,42,54,2,55,57,78,48,3
9233116,34,48,29,40,72,42,43,2
5254175,46,35,9,63,26,36,38,2
7526194,44,43,20,20,88,61,45,3
8959308,17,62,74,84,83,0,47,3
5737923,35,31,75,23,27,40,36,2
5955434,31,41,35,68,3,43,37,2
7432112,69,49,9,36,3,31,44,2
8479701,56,30,43,80,42,61,46,3
7607793,69,49,33,64,3,32,49,3
8202273,34,58,74,41,35,84,53,4
8476003,53,48,86,54,19,69,53,4
8779569,72,58,99,54,13,45,62,4
7298828,51,53,2,11,31,86,41,2
7397297,61,43,79,94,54,87,61,4
9039029,74,69,71,91,38,69,70,5
9292904,50,39,80,63,17,61,47,3
7929851,82,88,75,62,61,50,78,6
8610036,70,39,52,57,42,81,58,4
8972421,30,60,88,92,16,70,53,4
6631935,49,67,89,30,10,60,55,4
9075319,39,58,43,40,76,50,50,4
9140322,63,80,19,21,25,55,55,4
9719730,61,57,98,27,64,7,57,4
7805862,54,47,81,61,63,65,57,4
8997636,35,55,40,69,89,10,46,3
9649018,49,70,45,28,61,81,55,4
9791839,49,59,42,36,59,58,49,3
5105808,40,62,62,70,71,94,60,4
5876165,52,60,54,42,14,41,49,3
7475270,39,46,76,76,28,14,43,2
5884846,62,31,14,2,29,33,33,2
7863845,45,49,79,56,10,50,45,3
7960060,56,36,84,61,73,98,56,4
7631358,49,53,32,42,53,51,49,3
8387116,92,58,5,92,17,68,67,5
9211684,38,60,54,12,41,35,44,2
7054995,31,76,40,67,74,22,51,4
8974212,75,44,25,97,55,2,57,4
9880350,90,52,21,66,1,89,62,4
5492496,40,61,95,36,2,56,46,3
6585085,73,65,12,39,90,0,61,4
8482472,47,62,2,83,70,21,49,3
6912445,39,38,42,27,79,74,45,3
7416604,81,54,18,54,11,89,59,4
8831277,48,69,86,83,2,87,58,4
9496762,64,64,87,66,8,59,62,4
5311463,28,64,78,84,4,64,49,3
5572501,30,54,74,87,9,36,43,2
6426588,84,39,27,22,4,3,44,2
7105189,57,53,12,53,48,59,51,4
