enrolment_id,total_interaction_percent,total_attendance_percent,survey_rating_percent,satisfaction_rate_percent,is_satisfied
8673968,73,64,48,46,0
5529114,83,34,67,57,1
5810481,61,22,99,61,1
7470759,29,48,71,63,1
7555565,54,44,74,56,1
9438807,36,40,51,47,0
9789601,72,58,92,56,1
5208344,50,52,91,84,1
6960458,26,51,81,60,1
8999373,62,50,79,56,1
9637592,24,47,89,53,1
6972692,54,62,93,66,1
6999978,45,43,79,49,0
7202006,17,75,99,51,1
9579976,56,27,64,55,1
5021408,57,59,78,64,1
5239647,64,45,53,51,1
7335112,19,40,86,68,1
6124884,52,53,55,61,1
7118565,88,37,48,36,0
8490445,81,38,92,67,1
8945941,77,72,88,60,1
6713212,66,26,59,49,0
8941124,73,51,95,59,1
9183528,53,61,68,56,1
7166186,56,57,86,71,1
8668530,41,56,71,59,1
8747255,79,57,78,51,1
9808807,49,33,58,45,0
7270669,55,57,81,62,1
8220837,61,41,59,58,1
8903213,19,63,86,53,1
7712108,75,59,92,66,1
7897511,25,60,65,58,1
9168906,90,54,100,67,1
5825713,66,40,67,33,0
6760341,24,70,95,70,1
7199790,84,54,94,57,1
9446143,83,66,89,63,1
5875519,51,54,66,39,0
6473191,68,76,78,73,1
8266315,60,30,88,62,1
8529414,70,48,90,48,0
5855089,64,54,62,66,1
6760455,42,40,90,56,1
7943784,11,60,60,57,1
5184608,48,47,79,47,0
5814601,25,35,93,74,1
8908958,56,46,56,58,1
9180517,14,42,52,48,0
5195997,50,59,92,56,1
5909328,43,57,99,73,1
6301849,75,58,90,68,1
8569176,58,40,42,38,0
6415145,93,58,83,69,1
7795436,7,56,52,52,1
8914907,74,57,87,65,1
7313477,50,63,79,50,1
7337297,35,42,70,58,1
8780648,67,68,75,53,1
8873444,77,38,95,75,1
6004107,61,73,86,62,1
8197960,42,55,97,72,1
8361823,54,63,70,65,1
8991842,87,34,54,38,0
5789065,39,67,50,46,0
6271462,96,59,83,69,1
8573034,92,38,84,53,1
5901249,48,61,52,54,1
5905516,56,55,97,57,1
7536643,48,44,79,67,1
8142467,39,41,43,41,0
6196913,40,53,80,67,1
6703515,84,27,67,54,1
8682964,77,77,78,64,1
9462523,38,30,99,78,1
5231307,95,48,52,49,0
6044551,45,50,65,53,1
9268407,4,53,89,73,1
5786139,48,60,91,61,1
6042674,51,44,99,53,1
7820162,67,22,40,34,0
9236471,40,48,97,59,1
7193321,85,27,90,59,1
8559478,88,61,93,45,0
9167409,59,45,77,62,1
9338588,87,41,96,73,1
5311870,7,69,90,64,1
6065479,35,59,83,65,1
9164606,63,29,67,57,1
5968658,43,60,78,52,1
7174430,49,65,74,62,1
9958844,65,45,95,63,1
5370164,36,57,85,81,1
5516329,21,38,74,53,1
7404182,41,32,94,62,1
8235755,55,42,80,53,1
5747003,85,75,62,56,1
6738677,58,55,68,52,1
9407957,73,53,96,50,1
9624783,45,57,84,53,1
5563615,17,63,44,46,0
6512105,19,69,75,59,1
9750570,26,31,43,37,0
8147936,43,62,54,52,1
8394648,54,59,59,51,1
8479298,62,35,76,60,1
9403242,20,40,87,43,0
6194622,77,49,58,42,0
7893675,52,49,60,74,1
8589320,22,82,96,66,1
5327769,38,34,75,67,1
7818774,91,46,68,60,1
8664075,40,61,80,74,1
6922464,69,71,94,78,1
8134308,37,49,99,71,1
9638230,51,68,93,68,1
5586067,31,56,65,45,0
7854914,51,51,69,61,1
9186182,30,43,87,77,1
5041684,37,44,84,60,1
6591134,60,33,56,48,0
8458301,57,35,53,63,1
9487571,24,44,57,47,0
7504374,74,61,88,68,1
7763767,18,56,100,61,1
9032660,27,59,70,63,1
9215313,67,77,43,50,1
5536215,51,29,56,31,0
6981175,78,61,86,78,1
7187279,38,57,77,64,1
5916943,92,54,87,58,1
6455799,35,41,92,72,1
7228963,47,70,48,47,0
7938453,79,64,98,78,1
5004691,83,60,86,60,1
5562638,65,64,82,67,1
8143946,37,57,49,45,0
7023540,59,60,93,56,1
7151045,74,54,50,48,0
7833556,35,60,95,71,1
9216206,44,79,75,66,1
5874227,54,90,86,54,1
6301204,15,38,49,41,0
7405292,54,62,76,80,1
5938769,17,37,65,58,1
6891978,47,44,86,65,1
7174365,67,38,66,68,1
8553045,61,45,85,64,1
5495810,58,38,80,73,1
5651181,49,64,89,58,1
9643849,35,48,95,71,1
6961656,8,48,58,50,1
7167034,53,51,68,41,0
7452849,68,74,84,66,1
6131154,68,52,66,45,0
6730563,34,51,89,72,1
9329969,56,47,87,55,1
5640748,47,42,69,66,1
6909955,10,62,45,59,1
8796487,51,49,65,33,0
9788666,30,55,79,65,1
6988514,33,67,85,62,1
8218294,46,47,95,66,1
9979178,45,50,72,71,1
7459971,84,26,91,55,1
7500416,54,47,90,61,1
8244780,24,45,51,50,1
9768729,59,65,77,54,1
5056390,29,60,45,49,0
5233293,45,27,84,63,1
5333238,34,58,91,61,1
9336653,66,72,47,35,0
7509453,82,53,96,77,1
7787725,41,56,58,54,1
9346652,51,54,89,61,1
9472936,56,55,100,58,1
5595699,57,42,58,53,1
6509747,60,47,81,51,1
7134765,40,25,84,59,1
9889642,80,38,66,51,1
5364443,67,68,99,67,1
6073993,23,33,78,61,1
8455843,23,60,92,82,1
9094414,8,45,74,50,1
6013241,80,30,75,63,1
6188114,50,55,85,56,1
7254248,89,49,85,59,1
8264099,90,44,100,62,1
6060584,52,73,65,51,1
8080651,92,64,65,55,1
8545914,78,35,62,49,0
6402970,63,54,82,66,1
8521692,47,52,82,65,1
9500516,64,69,65,55,1
7628170,94,51,73,51,1
7689245,44,58,77,60,1
7885275,94,64,69,56,1
6563343,88,45,92,68,1
6779987,68,34,84,58,1
6807870,44,37,72,50,1
8323217,34,56,71,42,0
6249272,36,61,93,77,1
7484921,77,45,65,61,1
8679751,36,54,54,56,1
5497736,30,43,85,57,1
6828548,64,58,81,59,1
7401850,40,42,41,38,0
8232373,49,56,87,67,1
6228368,63,57,90,57,1
7026075,49,42,37,30,0
7808607,49,52,68,58,1
9155911,56,53,71,63,1
6290260,52,46,99,59,1
6334424,76,67,72,46,0
6988197,16,63,79,49,0
8164067,81,65,53,56,1
6809521,36,41,68,56,1
7714414,58,31,91,61,1
9267477,36,50,84,80,1
9885558,36,40,83,65,1
8950876,45,67,83,74,1
9093526,40,51,85,57,1
9551687,66,39,75,62,1
5581585,48,49,73,54,1
6936856,38,37,92,56,1
8512855,40,53,79,58,1
8726903,38,59,91,57,1
5308586,28,68,66,54,1
6020805,18,45,99,77,1
7243053,31,38,68,53,1
9024744,39,38,81,61,1
6292439,70,25,86,58,1
6770306,37,52,45,43,0
7533316,69,49,33,45,0
9908800,40,64,98,56,1
6383160,54,54,49,45,0
9076995,69,47,60,50,1
9654161,50,45,66,54,1
9953877,42,39,56,50,1
5107814,72,48,56,58,1
7501434,51,44,96,61,1
7542055,54,64,95,60,1
8355690,39,36,54,56,1
5957912,45,64,55,58,1
6829333,63,29,66,66,1
9513368,62,58,63,69,1
5395161,7,53,58,54,1
7974692,54,65,89,65,1
8880596,51,66,81,65,1
9959957,55,55,68,65,1
6453461,69,63,86,70,1
6876937,18,76,78,52,1
7039185,27,32,63,52,1
8398174,49,50,90,62,1
5281030,67,32,47,40,0
5459196,60,54,79,74,1
5491345,2,64,57,49,0
5505754,51,55,100,57,1
5809423,30,68,98,64,1
6614995,41,55,99,71,1
8783984,59,37,88,82,1
5021597,31,23,82,72,1
7938514,85,46,89,62,1
8890498,59,32,80,76,1
9532808,78,34,93,73,1
5849685,45,47,68,60,1
7970459,69,34,98,79,1
9121187,26,58,78,45,0
9921895,87,69,87,59,1
8409479,59,41,55,62,1
9066835,45,45,72,67,1
9765149,24,37,70,63,1
6944915,52,37,90,55,1
7301778,45,39,63,46,0
7736358,50,56,88,59,1
8742178,53,26,98,64,1
6510071,38,54,60,50,1
6522300,97,55,79,58,1
7067462,48,41,86,57,1
9983915,67,80,66,60,1
5468698,57,48,53,53,1
5848510,23,72,63,50,1
9906256,69,67,66,66,1
6148724,80,60,61,59,1
7463437,42,20,65,52,1
7487730,56,39,78,58,1
8852341,84,61,81,67,1
6106552,24,50,89,65,1
6876031,29,41,61,41,0
8624200,56,26,69,58,1
8923305,34,44,69,73,1
7593751,53,45,73,56,1
7660612,61,40,89,63,1
8462556,24,67,83,67,1
8858855,49,39,79,66,1
6872481,94,48,59,47,0
8793007,30,28,64,38,0
9056880,30,43,72,57,1
9202155,56,44,75,69,1
5687712,58,58,68,52,1
6759521,17,60,87,59,1
8620868,52,54,65,58,1
9750480,59,28,74,60,1
6238901,82,42,69,59,1
7753863,70,34,86,64,1
8735226,80,48,61,56,1
5803032,49,45,65,61,1
6726589,25,75,84,63,1
7573599,58,58,88,73,1
9469527,55,40,70,68,1
6334392,53,56,72,49,0
6727036,64,54,68,66,1
8347212,46,63,100,65,1
5745182,56,30,73,59,1
7433809,78,50,90,77,1
8961501,73,40,72,66,1
5298255,33,57,98,67,1
6656167,12,58,48,41,0
7717386,63,58,89,72,1
9305689,24,40,48,60,1
5275148,37,51,69,65,1
5306510,46,34,75,58,1
6338843,31,27,93,67,1
8864843,43,69,91,65,1
5372855,21,48,82,64,1
6236855,48,51,88,61,1
9480998,22,60,63,52,1
6724824,74,60,78,62,1
7318192,59,59,71,42,0
8263583,85,48,74,85,1
8753570,69,46,61,49,0
6354589,42,66,86,63,1
7617490,53,40,94,78,1
8318088,34,46,86,81,1
9148224,51,49,54,44,0
7322421,49,56,100,70,1
8463300,73,54,96,69,1
9560336,32,38,92,60,1
9851073,24,53,96,81,1
7268347,31,82,77,56,1
8660869,40,61,44,52,1
8855111,43,43,73,68,1
9272606,60,65,60,54,1
7631001,63,70,71,63,1
8011134,70,39,58,50,1
8795515,58,47,88,55,1
9120616,85,63,59,67,1
5654467,40,66,64,42,0
6741355,46,67,73,53,1
9979019,37,61,91,63,1
5946370,13,49,73,59,1
8323080,9,86,59,32,0
8350543,24,55,81,63,1
6366141,70,91,46,48,0
7328278,71,37,68,51,1
8448827,32,35,91,56,1
8496642,82,62,74,60,1
5508485,69,55,88,48,0
8253050,97,73,75,55,1
8503152,37,55,75,71,1
9539447,25,73,46,44,0
6520552,24,50,83,59,1
8719471,77,57,91,61,1
9789441,68,38,49,35,0
6447395,87,55,64,50,1
7484873,55,45,77,53,1
8284374,43,56,92,68,1
8371655,20,54,85,59,1
6660021,70,66,66,76,1
9169335,18,45,98,66,1
9267050,75,67,61,51,1
9424721,26,44,71,43,0
5264123,49,52,73,63,1
5813661,20,49,73,75,1
9762849,85,44,100,78,1
6453582,46,52,61,44,0
6916867,38,50,62,35,0
7075003,75,32,77,68,1
5222082,43,48,69,63,1
8837583,50,51,70,44,0
9166400,43,51,86,62,1
5194796,13,62,60,66,1
6518272,25,38,94,73,1
9475816,64,78,100,64,1
9952667,18,54,79,64,1
8592442,28,48,100,62,1
9415647,39,77,82,68,1
9995134,83,47,87,63,1
5496246,32,48,42,46,0
5759962,29,39,72,60,1
6465981,35,37,62,44,0
9881854,32,58,97,68,1
7133251,29,57,72,52,1
8481037,71,37,78,55,1
8951823,57,66,76,71,1
8858981,46,55,84,66,1
8981837,70,59,95,66,1
9157869,53,52,66,66,1
9409445,56,67,90,64,1
5689803,46,33,97,66,1
7508274,37,36,79,70,1
9254526,54,41,63,53,1
5778907,51,32,69,57,1
6331339,56,65,52,38,0
6833409,17,29,66,38,0
9346833,45,47,44,31,0
7139800,90,44,59,41,0
8612997,60,58,94,63,1
8686847,41,50,58,49,0
6022445,53,47,98,67,1
8066817,50,70,100,58,1
8357303,64,16,85,54,1
8553797,35,49,72,66,1
6077683,99,63,61,47,0
6557299,50,25,86,64,1
6725851,78,37,92,73,1
5984915,34,37,51,41,0
6444925,7,59,95,57,1
6694270,40,72,68,62,1
8046612,16,48,86,61,1
5175148,36,36,97,95,1
6426701,32,55,83,67,1
9730805,94,56,90,76,1
9969731,64,29,95,55,1
6701957,79,52,66,52,1
8637710,18,52,62,50,1
9619982,66,73,90,53,1
5639068,68,45,68,67,1
5984144,68,48,90,75,1
5999705,38,45,69,58,1
7110976,29,48,97,77,1
6458223,51,94,51,41,0
7818684,62,53,70,48,0
8957064,57,51,50,49,0
6882675,32,46,82,62,1
6975639,30,62,79,76,1
7572574,53,49,75,58,1
8889841,23,51,90,58,1
5611127,11,61,96,72,1
5699864,21,47,85,66,1
5795995,60,40,79,67,1
5195908,63,32,91,73,1
7434979,40,53,96,62,1
7575552,26,42,76,63,1
8758905,52,58,97,76,1
6840209,30,64,96,60,1
7539361,59,45,91,70,1
8248846,49,56,84,54,1
8541224,50,57,84,60,1
5774641,62,81,40,45,0
6517585,63,74,64,48,0
8166427,46,45,99,70,1
8222991,59,52,77,73,1
5033193,44,44,81,70,1
5176111,41,52,94,65,1
7051338,42,54,66,50,1
9233116,34,48,81,64,1
5254175,46,35,77,53,1
7526194,44,43,85,53,1
8959308,17,62,56,58,1
5737923,35,31,74,69,1
5955434,31,41,70,54,1
7432112,69,49,81,74,1
8479701,56,30,92,66,1
7607793,69,49,98,70,1
8202273,34,58,98,58,1
8476003,53,48,78,56,1
8779569,72,58,99,61,1
7298828,51,53,72,62,1
7397297,61,43,89,79,1
9039029,74,69,69,58,1
9292904,50,39,96,77,1
7929851,82,88,83,63,1
8610036,70,39,95,61,1
8972421,30,60,76,52,1
6631935,49,67,80,60,1
9075319,39,58,86,62,1
9140322,63,80,72,60,1
9719730,61,57,69,51,1
7805862,54,47,92,61,1
8997636,35,55,81,48,0
9649018,49,70,83,59,1
9791839,49,59,99,65,1
5105808,40,62,93,68,1
5876165,52,60,65,59,1
7475270,39,46,66,78,1
5884846,62,31,94,65,1
7863845,45,49,98,75,1
7960060,56,36,58,56,1
7631358,49,53,96,68,1
8387116,92,58,67,43,0
9211684,38,60,65,63,1
7054995,31,76,91,72,1
8974212,75,44,89,71,1
9880350,90,52,59,45,0
5492496,40,61,90,73,1
6585085,73,65,67,67,1
8482472,47,62,77,52,1
6912445,39,38,84,50,1
7416604,81,54,71,57,1
8831277,48,69,48,54,1
9496762,64,64,67,60,1
5311463,28,64,97,60,1
5572501,30,54,62,50,1
6426588,84,39,75,68,1
7105189,57,53,83,70,1
5235287,60,57,81,67,1
7700773,65,32,86,64,1
8311042,43,35,54,60,1
5483106,42,78,64,42,0
5787965,27,59,100,69,1
7378990,19,51,92,62,1
5153015,83,62,87,73,1
5929542,43,72,96,80,1
9632347,19,51,86,72,1
9870744,24,71,65,72,1
5913847,82,59,87,63,1
6942526,59,42,95,56,1
9431486,35,84,63,39,0
7281987,51,38,72,64,1
8146972,34,44,74,57,1
8329788,83,36,58,52,1
8581313,27,64,94,72,1
6297733,92,55,55,61,1
7555049,34,45,53,52,1
8375287,28,61,91,69,1
5565744,47,28,92,54,1
8022076,76,42,78,48,0
8783852,34,68,69,67,1
9828744,66,53,48,46,0
7352451,45,49,63,59,1
9358877,31,46,72,41,0
9634825,63,72,93,71,1
6215561,19,59,98,57,1
6395201,93,45,52,58,1
6922057,65,55,89,62,1
8872051,62,40,47,49,0
6841373,49,49,79,59,1
8017697,88,42,49,36,0
8479392,54,42,70,55,1
9400689,24,48,74,66,1
5257572,34,52,99,56,1
6068510,49,42,75,63,1
7294608,33,59,65,48,0
9534921,43,70,81,72,1
6351776,78,42,73,41,0
8236217,69,60,60,64,1
8633132,55,81,67,57,1
9292351,71,32,95,72,1
5536978,37,47,78,52,1
5690722,40,54,73,50,1
8627964,73,76,93,73,1
9036149,44,45,100,86,1
5617960,49,44,87,53,1
7121599,69,83,76,56,1
7982140,76,40,99,67,1
8397856,58,44,56,41,0
5512186,40,46,93,69,1
7410865,33,41,57,47,0
7571914,75,36,68,59,1
5151863,37,24,95,78,1
5770879,61,54,80,44,0
7582148,35,37,70,70,1
8772814,13,30,100,57,1
7115034,36,57,98,70,1
8694217,28,40,99,74,1
9793053,75,55,57,46,0
7893575,30,60,89,70,1
9105107,24,43,63,45,0
9734516,65,52,100,78,1
5428072,49,45,76,62,1
8135721,95,65,63,66,1
8741991,43,67,47,49,0
9357673,54,47,52,38,0
9614876,30,70,93,58,1
9895332,50,35,86,62,1
9933342,44,41,66,57,1
5929728,27,58,100,54,1
6060469,45,45,67,51,1
8654194,86,48,49,44,0
5338783,17,64,50,50,1
7412179,70,54,82,70,1
7845224,62,48,70,52,1
9221626,45,54,88,69,1
6070019,50,53,93,62,1
8458386,16,28,83,63,1
9862834,63,73,99,57,1
7546324,22,50,70,58,1
7633365,24,60,98,60,1
8098679,38,32,71,71,1
9528354,51,38,91,73,1
5833020,4,53,50,54,1
6212025,89,73,66,42,0
6531206,57,31,63,50,1
9187022,77,72,92,72,1
8599510,26,29,58,60,1
9882353,63,27,59,46,0
9883547,88,49,72,64,1
6104403,51,49,59,50,1
6512719,59,25,81,62,1
8841345,84,47,50,50,1
9606810,67,65,92,71,1
6141491,40,46,58,49,0
6745646,71,26,74,43,0
7311263,46,72,68,54,1
7536242,38,42,59,57,1
5601108,95,49,96,74,1
5688419,57,44,59,68,1
7089425,61,60,62,50,1
5153324,70,37,92,67,1
5771525,18,45,70,48,0
7186026,14,48,77,47,0
6991264,64,38,58,58,1
7602893,29,40,66,49,0
7689323,70,45,89,72,1
9308433,74,85,74,66,1
5787734,68,53,91,77,1
6740295,79,32,100,68,1
7230763,58,42,94,64,1
7757669,80,38,79,52,1
5600459,33,48,58,43,0
6096082,52,22,56,55,1
7166892,72,61,87,81,1
8422723,50,33,72,56,1
6829825,67,49,93,73,1
7836052,36,48,63,54,1
9265187,76,40,60,52,1
5298662,48,57,93,67,1
8428753,50,48,79,64,1
9952018,70,53,74,64,1
5402657,47,83,74,60,1
8218823,67,30,63,37,0
8876064,60,65,95,73,1
9127825,53,40,89,61,1
6829131,51,60,59,55,1
8525511,26,61,67,61,1
9066421,46,62,66,50,1
6714247,83,34,56,60,1
6954974,70,32,84,66,1
7222406,83,41,79,59,1
7405818,56,43,73,65,1
6838536,18,70,78,38,0
7049030,73,61,61,57,1
9150368,36,42,99,61,1
6506248,41,66,76,58,1
7667923,65,49,80,67,1
8086417,52,65,71,65,1
6857636,67,38,58,62,1
8160146,30,35,64,58,1
9596208,70,49,46,42,0
5421921,41,57,81,55,1
7322953,21,50,67,57,1
7776409,69,26,89,64,1
9077102,47,50,56,52,1
5488230,33,54,84,70,1
6285342,33,28,57,56,1
6810403,41,33,44,44,0
7669228,49,60,78,61,1
6780864,76,49,63,43,0
7174065,18,29,52,42,0
9704833,86,47,100,53,1
5834787,49,45,100,74,1
6018243,36,34,90,58,1
6224524,67,61,70,55,1
6836457,57,30,77,61,1
6274136,60,41,93,70,1
8972420,31,38,50,30,0
9235553,74,63,79,50,1
9947460,13,46,68,50,1
5619258,32,45,67,58,1
5893084,45,29,89,73,1
6726247,8,73,99,62,1
5627087,38,54,47,63,1
7719293,39,47,66,52,1
8212139,49,53,98,86,1
6633691,89,45,98,78,1
6829616,50,53,64,51,1
9319284,57,57,80,61,1
9337850,16,55,59,50,1
5825118,38,72,77,65,1
6433740,70,51,94,62,1
7896372,53,32,67,49,0
5856373,32,51,98,64,1
8584138,61,36,58,52,1
9063120,76,76,66,64,1
5449653,46,39,79,55,1
7955212,50,58,99,79,1
8818940,64,74,86,54,1
9607323,36,56,71,70,1
5984516,39,58,72,58,1
6690247,42,35,78,61,1
7934709,74,43,40,40,0
9871500,84,64,80,52,1
5416939,74,54,60,48,0
8650859,48,43,70,67,1
8929519,59,57,84,67,1
6926965,33,41,36,36,0
7290308,49,39,75,59,1
9431647,29,55,68,62,1
5613677,60,79,100,61,1
8098668,68,49,76,57,1
8760394,82,56,58,50,1
9534217,62,34,83,79,1
7977573,84,54,84,50,1
8142792,48,64,97,71,1
9397700,57,59,57,55,1
9486232,30,59,73,68,1
6062404,89,42,72,50,1
6611147,69,48,61,59,1
7298309,66,71,80,60,1
8131524,20,35,83,72,1
5960975,32,47,79,51,1
7596477,76,49,78,62,1
9333051,64,51,44,42,0
6292831,74,24,68,61,1
6416186,92,40,77,66,1
8808610,69,45,62,48,0
6174823,16,39,71,55,1
6789114,39,46,51,58,1
8313555,88,64,62,70,1
5201754,56,67,65,67,1
6279341,32,23,75,43,0
9320661,56,49,83,61,1
9983372,41,51,96,50,1
5635984,39,48,67,63,1
6235578,25,64,86,60,1
7246481,64,60,93,72,1
7971222,42,28,34,34,0
5484547,50,59,90,66,1
5942147,82,47,65,57,1
8217219,5,43,94,67,1
9892560,38,28,50,33,0
7177917,52,54,60,47,0
7349783,49,58,65,69,1
7465751,46,61,38,36,0
9842022,33,64,87,71,1
6636557,73,61,56,57,1
6939572,33,42,99,60,1
8718084,77,59,79,63,1
5826269,65,65,100,72,1
9611888,34,72,98,64,1
9816943,52,36,68,49,0
7120715,39,45,29,35,0
7440238,8,34,98,66,1
7509669,48,75,53,56,1
9500829,77,48,95,50,1
5642379,37,51,99,77,1
6887765,43,60,33,31,0
7841666,34,59,95,74,1
8913436,11,29,83,59,1
9422871,78,52,97,78,1
9605643,57,86,60,57,1
5450462,31,40,93,59,1
6952408,60,47,81,71,1
8492439,94,52,81,57,1
5381961,42,52,54,43,0
5989810,68,76,46,61,1
9112293,74,26,74,53,1
9357859,35,65,79,48,0
5131808,32,79,53,49,0
6609423,79,58,68,42,0
8640813,31,41,99,72,1
5842109,70,60,96,72,1
7281469,37,24,85,63,1
9714162,70,57,61,63,1
5321532,43,55,43,38,0
5330225,24,48,76,54,1
7297503,28,45,59,62,1
8528488,62,33,98,73,1
5279281,65,64,69,59,1
8266966,73,75,77,68,1
9225031,17,38,74,72,1
9508176,56,57,79,59,1
5490361,46,40,63,60,1
7623899,24,42,96,58,1
8498168,51,68,66,62,1
9935233,64,25,67,49,0
5207791,42,65,89,57,1
6446211,38,66,60,60,1
8375609,69,53,81,61,1
9272508,34,55,86,47,0
5210660,31,36,50,46,0
6125524,83,49,89,70,1
8598734,63,62,68,54,1
8773542,48,51,90,70,1
5244716,45,54,76,67,1
5378124,73,54,56,52,1
5825157,73,32,45,41,0
7710996,16,46,66,57,1
6406321,85,33,80,59,1
6815997,58,43,99,55,1
8417972,79,68,96,80,1
6333715,45,37,90,61,1
7792960,63,46,78,64,1
8189860,27,52,67,51,1
8954220,63,48,56,39,0
6228882,38,71,90,52,1
7261900,18,26,83,58,1
7362589,60,45,71,51,1
9141123,49,35,79,58,1
8337106,50,57,59,64,1
8910093,38,53,98,54,1
8991236,32,36,80,58,1
6741563,23,64,73,54,1
6946346,43,63,74,42,0
8736799,95,75,98,44,0
